parameter_name,BMC/Body weight
pvalue,0.6140673
parameter_id,HRWLLA_DXA_007_001
gene_symbol,Eprs1
mouse_strain,C57BL
gene_accession_id,MGI:97838
analysis_id,2gb2g484f87u5v3
mouse_life_stage,E12.5
