analysis_id,483b25f33m55497
parameter_name,Response amplitude - S
mouse_life_stage,Early adult
pvalue,0.865669
gene_accession_id,MGI:1916363
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
gene_symbol,Alkbh3
