analysis_id,216ua0013lgv8f6
gene_accession_id,MGI:1918764
parameter_id,JAXLA_OFD_017_001
pvalue,0.1777278
mouse_life_stage,Early adult
gene_symbol,Sfpq
mouse_strain,C57BL
parameter_name,Center average speed
