analysis_id,3ld0s3598y6x58b
gene_accession_id,MGI:95835
mouse_strain,C57BL
pvalue,0.9085699
parameter_id,IMPC_GRS_009_001
gene_symbol,Hspa5
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,Early adult
