parameter_name,Eosinophil number
mouse_strain,C57BL
analysis_id,3j80z8j0w9k8775
parameter_id,MGP_PBI_040_001
mouse_life_stage,E15.5
pvalue,0.8601829
gene_accession_id,MGI:99501
gene_symbol,Fgb
