analysis_id,p716f9w90o872mz
pvalue,0.7372542
parameter_name,Aggression
mouse_life_stage,Early adult
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
