gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_strain,C57BL
pvalue,0.4232412
analysis_id,6x9315o6t1g049u
parameter_name,Vibrissae - presence
parameter_id,JAXLA_CSD_023_001
mouse_life_stage,Early adult
