analysis_id,z20363s48s8189e
mouse_strain,C57BL
gene_accession_id,MGI:2670995
pvalue,0.05301964
mouse_life_stage,Early adult
parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
gene_symbol,Trp53i11
