analysis_id,3c88t06tk6krg9s
gene_symbol,Frmpd1
pvalue,0.8197417
gene_accession_id,MGI:2446274
parameter_id,JAXLA_OFD_020_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
