analysis_id,ro62k2ct291oi81
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:1916043
pvalue,0.7573293
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
