analysis_id,7oy5pu5544a044z
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
gene_symbol,Sfpq
pvalue,0.2356416
gene_accession_id,MGI:1918764
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
