parameter_name,Limb morphology
gene_accession_id,MGI:88071
gene_symbol,Arnt
pvalue,0.3299202
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
analysis_id,4c2ja110e5d749s
mouse_strain,C57BL
