analysis_id,2d8zssy687b7jk0
gene_symbol,Hpca
gene_accession_id,MGI:1336200
pvalue,0.112044
parameter_id,IMPC_CSD_036_001
mouse_life_stage,Early adult
parameter_name,Startle response
mouse_strain,C57BL
