analysis_id,615w201582m3n68
pvalue,0.1080542
gene_symbol,Lurap1
parameter_id,UCDLA_EYE_017_001
mouse_strain,C54BL
gene_accession_id,MGI:1915325
parameter_name,Lens Opacity
mouse_life_stage,Early adult
