analysis_id,irk99kib48ui49x
gene_accession_id,MGI:1860103
pvalue,0.5445277
parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
mouse_life_stage,Early adult
gene_symbol,Slc2a8
mouse_strain,C57BL
