gene_symbol,Pglyrp3
mouse_life_stage,Early adult
pvalue,0.08988158
gene_accession_id,MGI:2685266
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
analysis_id,y45x6k033vf6maf
mouse_strain,C53BL
