analysis_id,e14k4b56f6xb0nf
parameter_name,Total CD4+ T cells - % of ab T cells
pvalue,0.3079032
parameter_id,MGP_IMM_004_001
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Lpgat1
