gene_symbol,Trdmt1
parameter_id,MGP_CSD_064_001
mouse_strain,C57BL
pvalue,0.6963838
parameter_name,Head morphology
analysis_id,3o371nws740dt3e
mouse_life_stage,Early adult
gene_accession_id,MGI:1274787
