gene_symbol,Pld1
gene_accession_id,MGI:109585
parameter_name,Weight
pvalue,0.2491197
analysis_id,b0tsuf789877458
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
