analysis_id,4433i09868990h0
gene_accession_id,MGI:1916222
pvalue,0.778079
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Tatdn3
parameter_id,MGP_IMM_006_001
