analysis_id,53z2f7kg408hw0v
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
pvalue,0.5698375
parameter_name,Total CD8+ T cells - % of ab T cells
mouse_strain,C57BL
gene_symbol,Eprs1
