gene_symbol,Ift74
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,dr13ysqkn742oy2
parameter_id,IMPC_DXA_004_001
parameter_name,Bone Mineral Density (excluding skull)
pvalue,0.7691136
gene_accession_id,MGI:1914944
