analysis_id,lqjs401900l41f7
parameter_name,Startle response
gene_accession_id,MGI:1336200
mouse_life_stage,Middle aged adult
gene_symbol,Hpca
parameter_id,ESLIM_008_001_013
pvalue,0.131259
mouse_strain,C57BL
