parameter_id,MGP_MLN_015_001
gene_symbol,Slc30a4
analysis_id,m8561oh9u2d0g19
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_accession_id,MGI:1345282
parameter_name,Naive CD8+ T cells - % of CD8+
pvalue,0.6688429
