parameter_name,Right kidney weight
pvalue,0.6650794
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
analysis_id,88l3560s785gw0o
gene_symbol,Rab17
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
