analysis_id,s9fukspa0840x5s
gene_symbol,Sprr1b
mouse_life_stage,Early adult
gene_accession_id,MGI:106659
mouse_strain,C57BL
pvalue,0.953595
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
