analysis_id,c56s1mec91uq989
pvalue,0.8794782
mouse_strain,C57BL
gene_symbol,Atrn
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
