gene_symbol,Nemp2
pvalue,0.4605693
parameter_id,MGP_IMM_081_001
gene_accession_id,MGI:2444113
parameter_name,Effector CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,a6n7m43h7c5569p
mouse_strain,C57BL
