analysis_id,iv7893525rjlm50
parameter_name,Latency to first transition into dark
gene_symbol,Zmynd8
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
mouse_strain,129SV
parameter_id,IMPC_LDT_006_001
pvalue,0.5779784
