gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_name,Anophthalmia
analysis_id,5e7ehv5okz693j9
pvalue,0.5442853
mouse_life_stage,Early adult
gene_accession_id,MGI:1921442
parameter_id,IMPC_GEO_048_002
