analysis_id,275cgm36wc8g9xd
parameter_id,JAXLA_OFD_017_001
parameter_name,Center average speed
mouse_life_stage,Early adult
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
mouse_strain,C57BL
pvalue,0.8855384
