parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,h3hh630ekic7s96
parameter_id,IMPC_EYE_017_001
pvalue,0.295911
gene_accession_id,MGI:2140475
gene_symbol,AU040320
