analysis_id,3dawg6a0l413w0m
parameter_name,Shape of vertebrae
gene_symbol,Gfi1b
mouse_life_stage,Early adult
pvalue,0.4716304
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:1276578
mouse_strain,C57BL
