analysis_id,19oa06qi5gh1463
parameter_name,Coat - color pattern - back
gene_symbol,Cd52
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.437729
parameter_id,IMPC_CSD_008_001
gene_accession_id,MGI:1346088
