gene_symbol,Galk2
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1917226
pvalue,0.7232694
analysis_id,ge251586gi638ld
