gene_symbol,Lpgat1
analysis_id,lcu0n5597y0129b
pvalue,0.1633158
mouse_life_stage,E18.5
parameter_id,IMPC_EYE_004_001
parameter_name,Eyelid morphology
mouse_strain,C57BL
gene_accession_id,MGI:2446186
