analysis_id,7612mi59656h4p4
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.443301
gene_accession_id,MGI:3026886
gene_symbol,Cdin1
parameter_name,CD8 CD44-CD62L+ T cells
