analysis_id,8bj65ay080t1w5y
gene_accession_id,MGI:1345282
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L- NKT cells
pvalue,0.3467769
parameter_id,IMPC_IMM_046_001
gene_symbol,Slc30a4
