mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.08531549
analysis_id,ca78jmr66b7555n
gene_accession_id,MGI:99605
gene_symbol,Cntfr
parameter_id,IMPC_CBC_016_001
parameter_name,HDL-cholesterol
