analysis_id,ii67arx8elklr69
gene_symbol,Secisbp2l
parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1917604
pvalue,0.7503079
parameter_id,IMPC_EYE_017_001
