analysis_id,9649v80vr93t7xd
parameter_name,Total NK cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107566
parameter_id,MGP_IMM_033_001
gene_symbol,Kifap3
pvalue,0.7911151
