parameter_name,Lean mass
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
gene_accession_id,MGI:1922745
pvalue,0.4806902
analysis_id,0005tiuwl72kjs8
mouse_life_stage,Early adult
gene_symbol,Morn5
