analysis_id,vo63150t1ds3mmf
pvalue,0.1275306
gene_accession_id,MGI:1332236
parameter_name,Breath rate during sleep standard deviation
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
mouse_strain,129SV
