analysis_id,s1je1ckc57w386r
pvalue,0.07846881
gene_symbol,Bpifa3
parameter_id,IMPC_EYE_006_001
gene_accession_id,MGI:1920638
parameter_name,Narrow eye opening
mouse_strain,129SV
mouse_life_stage,Early adult
