parameter_name,Body weight
gene_accession_id,MGI:97838
parameter_id,M-G-P_009_001_003
mouse_strain,C57BL
analysis_id,377tr97u2n07313
pvalue,0.7725915
mouse_life_stage,Early adult
gene_symbol,Eprs1
