analysis_id,jc4y82qge06c2g3
parameter_name,Lens Opacity
parameter_id,UCDLA_EYE_017_001
pvalue,0.9306877
gene_symbol,Dnajc5b
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
mouse_strain,C57BL
