analysis_id,c6gph90df189b06
mouse_life_stage,Early adult
pvalue,0.7010846
gene_symbol,Kdm5b
parameter_name,Platelet count
parameter_id,IMPC_HEM_008_001
gene_accession_id,MGI:1922855
mouse_strain,C57BL
