parameter_name,Platelet count
mouse_strain,C57BL
pvalue,0.1394573
gene_symbol,Slc17a9
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
analysis_id,80fx97m028757u8
gene_accession_id,MGI:1919107
