analysis_id,a5tu1py58h44mm7
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
pvalue,0.714264
parameter_id,MGP_MLN_005_001
mouse_life_stage,E9.5
