analysis_id,x28vef438eczk11
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
pvalue,0.2861592
gene_symbol,Lime1
gene_accession_id,MGI:1919949
