parameter_id,IMPC_EYE_024_001
parameter_name,Retinal Blood Vessels
gene_symbol,Tiprl
pvalue,0.9345748
analysis_id,1h21o985a583q62
gene_accession_id,MGI:1915087
mouse_strain,C59BL
mouse_life_stage,E12.5
