gene_symbol,Sass6
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_005_001
parameter_name,PQ
gene_accession_id,MGI:1920026
mouse_strain,C57BL
analysis_id,226nmc9a956h0ki
pvalue,0.4334721
