parameter_id,MGP_IMM_100_001
gene_accession_id,MGI:104640
mouse_life_stage,Early adult
gene_symbol,Rab17
pvalue,0.7875244
parameter_name,Resting NK cells - % of CD45+
analysis_id,h7z184e1l9ad54a
mouse_strain,C57BL
