parameter_name,Prepulse inhibition - PP2
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
pvalue,0.09869956
parameter_id,ESLIM_011_001_702
mouse_strain,C57BL
analysis_id,81kyq5po5914670
gene_symbol,Mgst2
