analysis_id,2597tj0x5164vx7
mouse_life_stage,Early adult
gene_symbol,Zmynd8
pvalue,0.280932
mouse_strain,129SV
parameter_id,CCP_XRY_001_001
parameter_name,Skull shape
gene_accession_id,MGI:1918025
