gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.2872488
parameter_name,Creatinine
parameter_id,HMGULA_CBC_005_001
mouse_strain,C57BL
analysis_id,ia513yj068v360h
mouse_life_stage,Early adult
