parameter_id,MGP_PBI_004_001
parameter_name,CD8+ alpha beta T cell percentage
gene_symbol,AU040320
pvalue,0.9154524
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5762ejf562yp987
gene_accession_id,MGI:2140475
