analysis_id,uu3s34p01ar84bp
mouse_life_stage,E9.5
parameter_id,IMPC_XRY_033_001
gene_symbol,Ahcy
pvalue,0.3122008
parameter_name,Tibia length
mouse_strain,C57BL
gene_accession_id,MGI:87968
