analysis_id,g7g57bv673v210w
gene_symbol,Lpgat1
parameter_id,ESLIM_011_001_704
gene_accession_id,MGI:2446186
pvalue,0.1887341
parameter_name,Prepulse inhibition - PP4
mouse_strain,C57BL
mouse_life_stage,Early adult
