gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,IMPC_IMM_071_001
mouse_life_stage,Early adult
parameter_name,MZB (CD21/35 high)
pvalue,0.7908616
gene_accession_id,MGI:88174
analysis_id,vlj388z2ls0f2yw
