analysis_id,23pj4ou1ps5h9g3
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
parameter_name,Periphery permanence time
mouse_strain,C57BL
pvalue,0.1396919
parameter_id,IMPC_OFD_012_001
gene_symbol,Tnfsf10
