analysis_id,9a65im14yu34shc
parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
gene_symbol,Atf3
gene_accession_id,MGI:109384
pvalue,0.4330383
mouse_life_stage,Early adult
