parameter_name,HRV
gene_symbol,Cds2
pvalue,0.453499
mouse_strain,C57BL
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
analysis_id,3ow6db7f6fwks0x
parameter_id,IMPC_ECG_010_001
