analysis_id,8c4f38l96823xhu
pvalue,0.8020423
gene_accession_id,MGI:1914583
parameter_name,Coat - hair texture / appearance - abdomen
gene_symbol,Stk35
mouse_strain,C57BL
parameter_id,IMPC_CSD_016_001
mouse_life_stage,Early adult
